timestamp,id,topic,method,norm_pos,diameter,confidence,sphere,projected_sphere,circle_3d,diameter_3d,ellipse,location,model_confidence,theta,phi
774697.569441,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.22518402088470402, 0.6202226820463324]",59.34314359676251,0.8828379511833191,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-4.412033516400508, -0.4563615622299574, 22.80684777083806], 'normal': [-0.5214946468205592, 0.012173845652966978, -0.8531677038071225], 'radius': 2.051606928669422}",4.103213857338844,"{'center': [43.23533200986317, 72.91724504710417], 'axes': [48.500065819839065, 59.34314359676251], 'angle': 3.5702463152616133}","[43.23533200986317, 72.91724504710417]",1.0,1.5586221804227773,-2.1194433377414374
774697.585572,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.22574063967294025, 0.6216388182709265]",59.44740179110862,0.8920302391052246,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-4.40844288188469, -0.4751486932072764, 22.804405906822357], 'normal': [-0.5211491378531811, 0.010366053131791, -0.8534026722815877], 'radius': 2.0551286150026367}",4.110257230005273,"{'center': [43.34220281720453, 72.64534689198211], 'axes': [48.59900105456657, 59.44740179110862], 'angle': 3.7892663484713296}","[43.34220281720453, 72.64534689198211]",1.0,1.5604300880066555,-2.1190259724839926
774697.604766,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.22863709326436032, 0.6240430069714489]",59.11208608067286,0.8761168122291565,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-4.357943812337626, -0.5017749852942119, 22.773481769142002], 'normal': [-0.5162898626203772, 0.007803936981138686, -0.8563783488172891], 'radius': 2.0425798137946503}",4.0851596275893005,"{'center': [43.89832190675718, 72.18374266148182], 'axes': [48.525161125236416, 59.11208608067286], 'angle': 4.163982615600318}","[43.89832190675718, 72.18374266148182]",1.0,1.5629923105997636,-2.1133277722541903
774697.622238,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.23219089606763058, 0.6257820335491258]",58.967227204448456,0.867614209651947,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-4.308391249311185, -0.5180971232260068, 22.743661860676326], 'normal': [-0.5115216650199853, 0.006233338526360032, -0.8592477708472672], 'radius': 2.036210297952618}",4.072420595905236,"{'center': [44.58065204498507, 71.84984955856787], 'axes': [48.6135930617249, 58.967227204448456], 'angle': 4.4365314673246985}","[44.58065204498507, 71.84984955856787]",1.0,1.5645629479022793,-2.1077626312577347
774697.638693,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.5763801987029186, 0.5453627498686713]",1.9401087269171825e-06,0.0,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [1.0802257550811512, -0.6264570798137896, 21.281267658571785], 'normal': [0.006998247987633035, -0.00419360315786207, -0.9999667185550016], 'radius': -0.018576077754450804}",-0.03715215550890161,"{'center': [110.66499815096037, 87.29035202521513], 'axes': [1.9401087269171825e-06, 1.9401087269171825e-06], 'angle': 180.0}","[110.66499815096037, 87.29035202521513]",0.1,1.5749899422445217,-1.5637979601432626
774697.659683,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.22168522325687154, 0.6043388162525805]",49.45844727349834,0.7819664458261388,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-4.458788111399645, -0.22244756191793946, 22.842042711783996], 'normal': [-0.5259936098219932, 0.034682230827527936, -0.849781069035581], 'radius': 1.7066313342384487}",3.4132626684768974,"{'center': [42.563562865319334, 75.96694727950457], 'axes': [40.34437507462057, 49.45844727349834], 'angle': 0.9725335837092786}","[42.563562865319334, 75.96694727950457]",1.0,1.5361071392396641,-2.1250516383133493
774697.686183,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.5763801987029186, 0.5453627498686713]",1.9401087269171825e-06,0.0,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [1.0802257550811512, -0.6264570798137896, 21.281267658571785], 'normal': [0.006998247987633035, -0.00419360315786207, -0.9999667185550016], 'radius': -0.018576077754450804}",-0.03715215550890161,"{'center': [110.66499815096037, 87.29035202521513], 'axes': [1.9401087269171825e-06, 1.9401087269171825e-06], 'angle': 180.0}","[110.66499815096037, 87.29035202521513]",0.1,1.5749899422445217,-1.5637979601432626
774697.703351,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.25033689330420433, 0.6414136883167956]",56.565855717362226,0.9050257547734001,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-3.8493506711606544, -0.7231407960647105, 22.48675024639171], 'normal': [-0.46735046479262354, -0.013496998091815829, -0.8839691024581279], 'radius': 1.9501217344261723}",3.9002434688523446,"{'center': [48.06468351440723, 68.84857184317525], 'axes': [48.126118386703276, 56.565855717362226], 'angle': 7.499468386729106}","[48.06468351440723, 68.84857184317525]",1.0,1.5842937347093209,-2.057135912812499
774697.719572,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.0, 1.0]",0.0,0.0,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [1.0802257550811512, -0.6264570798137896, 21.281267658571785], 'normal': [0.006998247987633035, -0.00419360315786207, -0.9999667185550016], 'radius': -0.018576077754450804}",-0.03715215550890161,"{'center': [0.0, 0.0], 'axes': [0.0, 0.0], 'angle': 0.0}","[0.0, 0.0]",0.1,1.5749899422445217,-1.5637979601432626
774697.737981,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.24964108441753, 0.6439176784447178]",58.92513210344255,0.8778586983680725,"{'center': [1.0074978286098688, -0.5828758773965993, 31.673226633062928], 'radius': 10.392304845413264}","{'center': [104.87058477468739, 90.73169584321059], 'axes': [223.8498310639179, 223.8498310639179], 'angle': 0.0}","{'center': [-3.8235923970564354, -0.7573286761664143, 22.473762874099968], 'normal': [-0.46487187371130173, -0.016786728388439382, -0.8852188129395784], 'radius': 2.03351233243704}",4.06702466487408,"{'center': [47.93108820816576, 68.36780573861418], 'axes': [50.16328028844304, 58.92513210344255], 'angle': 7.934686752823325}","[47.93108820816576, 68.36780573861418]",1.0,1.5875838436839171,-2.0543602146268594
